time	V(vout)
Step Information: R=1M  (Run: 1/21)
5.661896445347042e-001	3.299127e+000
5.700958945347042e-001	3.299120e+000
5.740021445347042e-001	3.299082e+000
5.779083945347042e-001	3.298977e+000
5.779694296909542e-001	3.298960e+000
5.781220175815792e-001	3.298873e+000
5.781830527378292e-001	3.298751e+000
5.783051230503292e-001	3.298280e+000
5.783089377475948e-001	3.298237e+000
5.783165671421261e-001	3.298031e+000
5.783318259311886e-001	3.297360e+000
5.783339851898481e-001	3.297143e+000
5.783383037071671e-001	3.296411e+000
5.783390094801952e-001	3.296218e+000
5.783404210262516e-001	3.295620e+000
5.783416124087941e-001	3.294929e+000
5.783419102544297e-001	3.294679e+000
5.783425059457009e-001	3.293958e+000
5.783432486952241e-001	3.292639e+000
5.783437779570341e-001	3.291129e+000
5.783441439206132e-001	3.289418e+000
5.783444349984428e-001	3.287227e+000
5.783446744514138e-001	3.284323e+000
5.783448776186204e-001	3.280281e+000
5.783450503569330e-001	3.274477e+000
5.783452056979771e-001	3.265476e+000
5.783453396025219e-001	3.251849e+000
5.783454660968533e-001	3.229201e+000
5.783455894100970e-001	3.190722e+000
5.783457198538913e-001	3.123372e+000
5.783458579776583e-001	3.014543e+000
5.783460652570434e-001	2.799032e+000
5.783462901045091e-001	2.530996e+000
5.783465241418471e-001	2.236597e+000
5.783468753771727e-001	1.789157e+000
5.783475778478239e-001	8.944854e-001
5.783479292350284e-001	4.524000e-001
5.783481425565852e-001	1.949484e-001
5.783482539152546e-001	7.615063e-002
5.783483092459072e-001	3.202439e-002
5.783483379041571e-001	1.848864e-002
5.783483681422427e-001	1.084747e-002
5.783483833395821e-001	8.599101e-003
5.783484054752462e-001	6.627671e-003
5.783484260301021e-001	5.400581e-003
5.783484539041304e-001	4.331220e-003
5.783484856988961e-001	3.546763e-003
5.783485278336805e-001	2.900653e-003
5.783485783356102e-001	2.427276e-003
5.783486505675548e-001	2.027012e-003
5.783487403417384e-001	1.738849e-003
5.783488755051554e-001	1.498389e-003
5.783490530533851e-001	1.327065e-003
5.783493346194527e-001	1.187491e-003
5.783497270793669e-001	1.090234e-003
5.783503888058759e-001	1.014013e-003
5.783514031280218e-001	9.627090e-004
5.783534317723137e-001	9.240129e-004
5.783574890608975e-001	8.985921e-004
5.783656036380650e-001	8.856985e-004
5.783818327924002e-001	8.813564e-004
5.903165379935356e-001	8.781521e-004
6.020352879935356e-001	8.756456e-004
6.137540379935356e-001	8.734154e-004
6.254727879935356e-001	8.714327e-004
6.371915379935356e-001	8.696789e-004
6.489102879935356e-001	8.681987e-004
6.606290379935356e-001	8.674039e-004
6.723477879935356e-001	8.697247e-004
6.801602879935356e-001	8.805110e-004
6.840665379935356e-001	9.297836e-004
6.879727879935356e-001	1.077490e-003
6.880338231497856e-001	1.122611e-003
6.881558934622856e-001	1.344914e-003
6.881864110404106e-001	1.448489e-003
6.881940404349418e-001	1.494375e-003
6.882092992240043e-001	1.714279e-003
6.882398168021293e-001	2.497554e-003
6.882411300785993e-001	2.576762e-003
6.882437566315394e-001	2.921282e-003
6.882490097374193e-001	3.974264e-003
6.882496234150374e-001	4.199268e-003
6.882508507702734e-001	4.921036e-003
6.882516581402592e-001	5.645857e-003
6.882525033890861e-001	6.752704e-003
6.882526950239640e-001	7.119676e-003
6.882530782937201e-001	8.179853e-003
6.882535059919304e-001	9.946595e-003
6.882538837269695e-001	1.251375e-002
6.882541643705853e-001	1.578533e-002
6.882543778259932e-001	2.007452e-002
6.882545501209864e-001	2.601085e-002
6.882546976500558e-001	3.474591e-002
6.882548296684891e-001	4.826992e-002
6.882549534085140e-001	7.034938e-002
6.882550755194924e-001	1.081250e-001
6.882552052859947e-001	1.744792e-001
6.882553441196335e-001	2.828975e-001
6.882555454917605e-001	4.909639e-001
6.882557644910902e-001	7.512655e-001
6.882559966905487e-001	1.043001e+000
6.882563380174639e-001	1.477720e+000
6.882570206712944e-001	2.348483e+000
6.882571913347519e-001	2.564502e+000
6.882575326616671e-001	2.991158e+000
6.882575957871925e-001	3.066735e+000
6.882577220382432e-001	3.205777e+000
6.882577744392965e-001	3.253566e+000
6.882578059768256e-001	3.272592e+000
6.882578471874308e-001	3.287132e+000
6.882578623927539e-001	3.290228e+000
6.882578794812300e-001	3.292181e+000
6.882579001851191e-001	3.293780e+000
6.882579252368372e-001	3.295062e+000
6.882579520790310e-001	3.295945e+000
6.882579900890159e-001	3.296732e+000
6.882580313375545e-001	3.297265e+000
6.882580940730477e-001	3.297749e+000
6.882581655371965e-001	3.298076e+000
6.882582791554387e-001	3.298368e+000
6.882584163383679e-001	3.298564e+000
6.882586446740396e-001	3.298735e+000
6.882589380405060e-001	3.298849e+000
6.882594544007220e-001	3.298943e+000
6.882603016762547e-001	3.299011e+000
6.882619962273203e-001	3.299061e+000
6.882721635337135e-001	3.299112e+000
6.882857199422376e-001	3.299118e+000
6.951994882895910e-001	3.299121e+000
7.030119882895910e-001	3.299123e+000
7.147307382895910e-001	3.299125e+000
7.264494882895910e-001	3.299127e+000
7.381682382895910e-001	3.299129e+000
7.537932382895910e-001	3.299131e+000
7.694182382895910e-001	3.299133e+000
7.850432382895910e-001	3.299128e+000
7.928557382895910e-001	3.299104e+000
7.967619882895910e-001	3.299055e+000
7.973723398520910e-001	3.299024e+000
7.976775156333410e-001	3.298981e+000
7.977995859458410e-001	3.298927e+000
7.980437265708410e-001	3.298663e+000
7.981047617270910e-001	3.298456e+000
7.981200205161535e-001	3.298195e+000
7.981505380942785e-001	3.297134e+000
7.981513037814162e-001	3.297065e+000
7.981528351556916e-001	3.296795e+000
7.981558979042425e-001	3.296063e+000
7.981564534186683e-001	3.295859e+000
7.981575644475197e-001	3.295233e+000
7.981586908424974e-001	3.294362e+000
7.981589658503810e-001	3.294046e+000
7.981595158661484e-001	3.293136e+000
7.981600423516164e-001	3.291868e+000
7.981604844306608e-001	3.290182e+000
7.981608242204650e-001	3.288071e+000
7.981610930069272e-001	3.285325e+000
7.981613105318680e-001	3.281646e+000
7.981614919757885e-001	3.276461e+000
7.981616546165991e-001	3.268493e+000
7.981617927834293e-001	3.256685e+000
7.981619186284235e-001	3.237761e+000
7.981620426104276e-001	3.204880e+000
7.981621760904138e-001	3.145227e+000
7.981623067282129e-001	3.053348e+000
7.981624822220865e-001	2.883912e+000
7.981626700624604e-001	2.668086e+000
7.981628977910298e-001	2.385489e+000
7.981631716927063e-001	2.037760e+000
7.981636943830586e-001	1.377189e+000
7.981647397637629e-001	1.459605e-001
7.981649319575763e-001	2.166361e-002
7.981651250052009e-001	2.258891e-003
7.981651796443759e-001	1.860002e-003
7.981652338318959e-001	1.713147e-003
7.981653422069357e-001	1.531551e-003
7.981655589570154e-001	1.332766e-003
7.981659924571747e-001	1.158584e-003
7.981668594574934e-001	1.030478e-003
7.981685934581310e-001	9.521139e-004
7.981720614594059e-001	9.089835e-004
7.981789974619559e-001	8.891092e-004
7.981928694670557e-001	8.818916e-004
8.091738420679914e-001	8.783895e-004
8.208925920679914e-001	8.758534e-004
8.326113420679914e-001	8.736014e-004
8.443300920679914e-001	8.715992e-004
8.560488420679914e-001	8.698264e-004
8.677675920679914e-001	8.683174e-004
8.794863420679914e-001	8.674265e-004
8.912050920679914e-001	8.692219e-004
9.029238420679914e-001	8.984004e-004
9.068300920679914e-001	9.594331e-004
9.073183733179914e-001	9.816376e-004
9.074404436304914e-001	9.965765e-004
9.076845842554914e-001	1.046942e-003
9.077456194117414e-001	1.069880e-003
9.078676897242414e-001	1.142712e-003
9.078982073023664e-001	1.174723e-003
9.079592424586164e-001	1.273887e-003
9.079745012476789e-001	1.314673e-003
9.080050188258039e-001	1.434670e-003
9.080126482203351e-001	1.479384e-003
9.080279070093976e-001	1.691862e-003
9.080584245875226e-001	2.440995e-003
9.080598105710784e-001	2.519611e-003
9.080625825381899e-001	2.863421e-003
9.080681264724131e-001	3.923811e-003
9.080687626177268e-001	4.150441e-003
9.080700349083545e-001	4.880348e-003
9.080708278097186e-001	5.582539e-003
9.080717274739504e-001	6.749008e-003
9.080719163697806e-001	7.108951e-003
9.080722941614410e-001	8.155070e-003
9.080727254481793e-001	9.938597e-003
9.080731045181336e-001	1.252176e-002
9.080733853780968e-001	1.581208e-002
9.080735984067966e-001	2.011935e-002
9.080737702612555e-001	2.608050e-002
9.080739174685144e-001	3.485661e-002
9.080740492918733e-001	4.845457e-002
9.080741729494979e-001	7.067421e-002
9.080742951281560e-001	1.087158e-001
9.080744248255758e-001	1.754121e-001
9.080745639889997e-001	2.845773e-001
9.080747670301685e-001	4.949791e-001
9.080749882501055e-001	7.582900e-001
9.080752209676566e-001	1.050822e+000
9.080755666185469e-001	1.491090e+000
9.080762579203277e-001	2.372772e+000
9.080764307457728e-001	2.591281e+000
9.080767763966632e-001	3.018402e+000
9.080769277812204e-001	3.190052e+000
9.080770077489819e-001	3.261570e+000
9.080770422367193e-001	3.280044e+000
9.080770792753909e-001	3.289817e+000
9.080770911342048e-001	3.291565e+000
9.080771119632193e-001	3.293354e+000
9.080771340398257e-001	3.294657e+000
9.080771606843271e-001	3.295671e+000
9.080771944275695e-001	3.296493e+000
9.080772334526180e-001	3.297086e+000
9.080772895530433e-001	3.297604e+000
9.080773551335843e-001	3.297965e+000
9.080774553829956e-001	3.298280e+000
9.080775786712116e-001	3.298498e+000
9.080777766196748e-001	3.298684e+000
9.080780347236547e-001	3.298811e+000
9.080784727622077e-001	3.298916e+000
9.080790873435152e-001	3.298985e+000
9.080803165061303e-001	3.299041e+000
9.080827748313605e-001	3.299082e+000
9.080975247827415e-001	3.299116e+000
9.081171913845829e-001	3.299119e+000
9.170187582522981e-001	3.299121e+000
9.248312582522981e-001	3.299123e+000
9.365500082522981e-001	3.299125e+000
9.482687582522981e-001	3.299127e+000
9.599875082522981e-001	3.299129e+000
9.756125082522981e-001	3.299131e+000
9.912375082522981e-001	3.299133e+000
1.002956258252298e+000	3.299130e+000
1.010768758252298e+000	3.299116e+000
1.014675008252298e+000	3.172451e+000
1.014682637646829e+000	3.033343e+000
1.014682668783736e+000	3.019490e+000
1.014682731057549e+000	2.962363e+000
1.014682855605175e+000	2.831185e+000
1.014683051539979e+000	2.601373e+000
1.014683262751933e+000	2.338762e+000
1.014683577466463e+000	1.938774e+000
1.014684092301220e+000	1.283851e+000
1.014684869237060e+000	3.313292e-001
1.014685161408989e+000	1.638850e-002
1.014685162555210e+000	1.565637e-002
1.014685164847651e+000	1.501399e-002
1.014685169432534e+000	1.389562e-002
1.014685174216214e+000	1.286275e-002
1.014685183783573e+000	1.115265e-002
1.014685199761440e+000	8.935216e-003
1.014685216649816e+000	7.251353e-003
1.014685239022900e+000	5.742479e-003
1.014685262829757e+000	4.682112e-003
1.014685295778341e+000	3.744576e-003
1.014685330825702e+000	3.114796e-003
1.014685382880739e+000	2.545447e-003
1.014685441814398e+000	2.156291e-003
1.014685532835876e+000	1.810468e-003
1.014685642045509e+000	1.574246e-003
1.014685818211692e+000	1.369282e-003
1.014686043041495e+000	1.230473e-003
1.014686424807349e+000	1.113722e-003
1.014686943296383e+000	1.037523e-003
1.014687980274450e+000	9.744831e-004
1.014690054230585e+000	9.276679e-004
1.014694202142854e+000	8.991953e-004
1.014702497967393e+000	8.854835e-004
1.014719089616470e+000	8.810498e-004
1.026745868482108e+000	8.778756e-004
1.038464618482108e+000	8.753999e-004
1.050183368482108e+000	8.731966e-004
1.061902118482108e+000	8.712383e-004
1.073620868482108e+000	8.695086e-004
1.085339618482108e+000	8.680681e-004
1.097058368482108e+000	8.674138e-004
1.108777118482108e+000	8.704959e-004
1.116589618482108e+000	8.852507e-004
1.120495868482108e+000	9.066642e-004
1.121960712232108e+000	9.350189e-004
1.122693134107108e+000	9.783702e-004
1.122815204419608e+000	9.931918e-004
1.123059345044608e+000	1.040010e-003
1.123120380200858e+000	1.060498e-003
1.123242450513358e+000	1.123687e-003
1.123272968091483e+000	1.149789e-003
1.123334003247733e+000	1.226998e-003
1.123349262036796e+000	1.256138e-003
1.123379779614921e+000	1.398933e-003
1.123440814771171e+000	1.905421e-003
1.123443129295153e+000	1.949932e-003
1.123447758343120e+000	2.128177e-003
1.123457016439051e+000	2.649682e-003
1.123458769433881e+000	2.828355e-003
1.123462275423538e+000	3.379123e-003
1.123463151920953e+000	3.591005e-003
1.123464904915782e+000	4.185542e-003
1.123465343164489e+000	4.391401e-003
1.123466219661904e+000	5.002588e-003
1.123467332761518e+000	6.156270e-003
1.123467977252658e+000	7.235590e-003
1.123468450251435e+000	8.523247e-003
1.123468834014252e+000	1.018048e-002
1.123469145769182e+000	1.233627e-002
1.123469403106039e+000	1.523748e-002
1.123469616073190e+000	1.922630e-002
1.123469794354975e+000	2.487346e-002
1.123469946800504e+000	3.316123e-002
1.123470081562583e+000	4.585947e-002
1.123470206286326e+000	6.634842e-002
1.123470327616817e+000	1.011285e-001
1.123470458097050e+000	1.635002e-001
1.123470593333048e+000	2.635898e-001
1.123470778342217e+000	4.480727e-001
1.123470973623879e+000	6.761170e-001
1.123471203271052e+000	9.628042e-001
1.123471500309305e+000	1.340506e+000
1.123472085926050e+000	2.087267e+000
1.123472554097431e+000	2.682167e+000
1.123472671140277e+000	2.828355e+000
1.123472905225967e+000	3.109938e+000
1.123473009203120e+000	3.221542e+000
1.123473063201687e+000	3.265507e+000
1.123473092451563e+000	3.279915e+000
1.123473127708380e+000	3.289247e+000
1.123473142074041e+000	3.291430e+000
1.123473164718894e+000	3.293420e+000
1.123473185158300e+000	3.294629e+000
1.123473213075780e+000	3.295688e+000
1.123473245089961e+000	3.296470e+000
1.123473287427491e+000	3.297112e+000
1.123473338261649e+000	3.297583e+000
1.123473410925734e+000	3.297981e+000
1.123473501406270e+000	3.298267e+000
1.123473637532112e+000	3.298506e+000
1.123473816685296e+000	3.298676e+000
1.123474100626107e+000	3.298815e+000
1.123474497148359e+000	3.298912e+000
1.123475165417228e+000	3.298988e+000
1.123476189430994e+000	3.299038e+000
1.123478237458526e+000	3.299077e+000
1.123490525623719e+000	3.299114e+000
1.123506909843977e+000	3.299119e+000
1.131574751789400e+000	3.299121e+000
1.139387251789400e+000	3.299123e+000
1.151106001789400e+000	3.299125e+000
1.162824751789400e+000	3.299127e+000
1.174543501789400e+000	3.299129e+000
1.190168501789400e+000	3.299131e+000
1.205793501789400e+000	3.299133e+000
1.217512251789400e+000	3.299130e+000
1.225324751789400e+000	3.299119e+000
1.229231001789400e+000	3.299066e+000
1.233137251789400e+000	3.298900e+000
1.233198286945650e+000	3.298827e+000
1.233320357258150e+000	3.298416e+000
1.233343804172475e+000	3.298209e+000
1.233349665901056e+000	3.298084e+000
1.233361389358219e+000	3.297680e+000
1.233364320222509e+000	3.297486e+000
1.233370181951090e+000	3.296865e+000
1.233371315464170e+000	3.296659e+000
1.233373582490329e+000	3.296048e+000
1.233374149246869e+000	3.295825e+000
1.233375282759948e+000	3.295168e+000
1.233376273247725e+000	3.294330e+000
1.233376929521876e+000	3.293448e+000
1.233377540825569e+000	3.292171e+000
1.233377925070326e+000	3.290893e+000
1.233378309773873e+000	3.288849e+000
1.233378600697676e+000	3.286332e+000
1.233378837989027e+000	3.282917e+000
1.233379030675587e+000	3.278268e+000
